Process,Narrative,SME Hazard Type Label,,SME Severity Label
QSI Observation,"Several carseals around the entire facility were observed to be removed, broken, wrongly installed or not following the correct valve color safety identification (orange). Review facility?É¬¢?Ç‚Ç¨?Ç‚Ñ¢s carseal program to ensure all required carseals are properly",None - minor maintenance,,
Employee Suggestion,There two long lights inform of Bldg #111 and I have notice that their bolt foundation one missing and others lost some congregate which may cause fall dawn on the street.this should be fixed by adding some concrete and reinstall the bolt foundation,Safety - collision,,
QSI Observation,Remove scaffolding on NGL coolers area,Safety - collision,,
Near Miss,"moving 6"" blind",Others,,1C
Employee Suggestion,to minimize usage of crane vehicles I suggest installing small motorized cranes on top of platforms and tanks its going to used especially for PZVs removal and installing to reduce risk and coast.,Safety - collision,,
QSI Observation,RGC#5 A little quantity of oil was found accumulated on the skid of B93-K-0502 and B93-K-0501,Safety - slip trip and fall,,2C
Unsafe Condition,WRONG ARRANGEMENT FOR CHEMICAL DRUMS,Safety - contact with chemicals,,
QSI Observation,area around G-0007A/B need housekeeping and remove OWS cover,None - minor maintenance,,
Employee Suggestion,"at NGL area on D-0*08 we have unreachable Sight glass for H.C and water side, right now we have a temporary scaffold but it's not helping us completely because we can not reach all required spots. also, we can't move, we only shafting between the pip",Safety - contact with chemicals,,
QSI Observation,Fix all alarms in HVAC room in maintenance building.,None - minor maintenance,,
Employee Suggestion,I noticed that ON and OFF Plot Emergency Diesel generator rooms do not have emergency eyewash.,Safety - contact with chemicals,,
Employee Suggestion,Sodium hydrochloride line to D-0006A/B&G-0007 need to install coupling on pipe rack.I SUGGEST INSTALL COUPLING TO PREVENT LINE TO FALLING.,Others,,
Employee Suggestion,there is no CPR Kit in the lab which is safety issue in case of emergency as you know every building must prepared with fully safety protection include CPR Kit,Safety - contact with chemicals,,
QSI Observation,Repair oil leak at 54-PCV-4707 (next to B93-G-0451A) in the lube oil skid. The whole skid is full of oil and is starting to overflow.,Safety - slip trip and fall,,
Employee Suggestion,"I suggest to install life stretchers at each unit in the battery limit , middle area and end of the unit",Safety - fire and explosion,,
QSI Observation,24V control panel A/C Exit Sign not working north door,Safety - electric,,
QSI Observation,First floor one toilet flush not working,Safety - slip trip and fall,,
QSI Observation,6- Missing drain of (B54-GEN-LCP-01) at west side of generator building.,None - minor maintenance,,
Employee Suggestion,"most of the door of the substations leaved open , that allow dust enters inside the cubical some animal like cat or mice and this is very dangerous . so I suggest to write on the doors , Keep Door close",Safety - electric,,
QSI Observation,16?É¬¢?Ç‚Ç¨?Ç¬ù lean amine line (near ZV-2020) has a very hot surface. Please consider and evaluate adding insulation to this line as it?É¬¢?Ç‚Ç¨?Ç‚Ñ¢s within an accessible distance,Safety - fire and explosion,,
Unsafe Condition,SCBA INSIDE ELECTRIC ROOM,Safety - collision,,
QSI Observation,Provide SA CHBs for chemicals front of Anti foam system. The CHB provided by the contractor mentioning (0) for health hazard while it is marked (2) in SA CHB.,Safety - contact with chemicals,,
QSI Observation,There are defective lightings inside RG1 substation.,Safety - fire and explosion,,
QSI Observation,Cut grounding cable penetrating the ground was noticed below B96-TB-001.,Safety - contact with chemicals,,
Employee Suggestion,cat's eyes that we see it on our roads,Safety - slip trip and fall,,
QSI Observation,1. The cladding on the downstream B/valve of 31-HCV-1818 at D-0116B in NGL-Train #1 was found removed,None - minor maintenance,,
Employee Suggestion,R.O building #207 has no fire blanket while there are electrical equipment. inside electrical room there are breakers for R.O System .,Safety - fire and explosion,,1C
QSI Observation,Chemical store needs housekeeping and removal of empty drums and gallons.,Safety - collision,,
QSI Observation,Electrical Shop room-130 the wall near the freezer is very dirty require cleaning or painting,None,,
QSI Observation,Improve housekeeping under NGL 2 liquid dehydrators area.,Safety - collision,,
QSI Observation,Ensure in daily basis the A/C and Heat Ventlization system are functioning,None,,
QSI Observation,D-0001 B one drain B/V is open must be closed.,None - minor maintenance,,
Unsafe Condition,LIGHT FRAM,None - minor maintenance,,
Employee Suggestion,install block valve in the end for unloading FMDEA Hose,None - minor maintenance,,
Employee Suggestion,We need to install ladder nearby PV-*552,Safety - slip trip and fall,,
QSI Observation,"Substation, Bldg. 303, Switchgear Room 100. Check and confirm if label is installed correctly. Arc flash warning label at SG201-B207-T205 says it is for B90-NG2-SG-003A.",Safety - electric,,
QSI Observation,PZV-1021 near Drinking water tank having two Boiler maker in open postion,Safety - fire and explosion,,
Unsafe Condition,G-0007A DISCHARGE HANDLE,Safety - contact with chemicals,,
Employee Suggestion,Utilities Emergency evacuation area does not have shades or umbrellas making waiting during safety drills and real emergency situations exhausting and a real heat hazard issueTo install shades or umbrella in evacuation area,None,,
QSI Observation,Locked door of the battery room of the IS substation Bldg#120 which shall be accessible 24/7.,Safety - fire and explosion,,
QSI Observation,B90-M-130 NO SAP,None - minor maintenance,,
QSI Observation,Clean oil under E-205 area is not safe,Safety - fire and explosion,,
QSI Observation,B94-HRS-0001 isolation valve wheel missing,None - minor maintenance,,
QSI Observation,Improve G-6C housekeeping,Safety - slip trip and fall,,
Employee Suggestion,"We can but a plat form under the oil drums so if we are filling the oil bottles the spell don't fill in the hole chemical storage. Also, bring oil filler for the bottles like in the gas station.",Safety - contact with chemicals,,
QSI Observation,Oil spillage at CCR EDG.,Safety - fire and explosion,,
Unsafe Condition,There is one missing stairs' step on launcher area near by GAS INGECTION PIPE LINE 24?É?í?Ç¬¢?É¬¢?Ç‚Äö?Ç¬¨?É¬¢?Ç‚Äû?Ç¬¢?É?í?Ç¬¢?É¬¢?Ç‚Äö?Ç¬¨?É¬¢?Ç‚Äû?Ç¬¢one step has been installed.,Safety - slip trip and fall,,2C
Employee Suggestion,Eyes wash inside fabrication shop building B-111,Safety - fire and explosion,,
Employee Suggestion,in storage area D-0005 and D-0004 inside fence there is to sample point for each dram when tack sample it should be there is eye wash and safety shower duo to the MDEA catch some one its not easy To go out the fence to find eye wash out of the fence,Safety - contact with chemicals,,
QSI Observation,Ensure that all masking tapes are removed from blinds and manways,None - minor maintenance,,
Unsafe Condition,DISCONNECTED GROUNDING WIRE,Safety - contact with chemicals,,
Unsafe Condition,WIND SOCK,Safety - contact with chemicals,,
QSI Observation,D-0202 A/B/C Needs general houskekeeping,None,,
QSI Observation,4'' B/V for CDS outlet without careseal,None - minor maintenance,,
QSI Observation,Oil drums were under direct sun need to be removed to shaded area,Safety - contact with chemicals,,
QSI Observation,T&I and Contractor yard #2 in a bad condition need full Houskeeping and arranging,None - minor maintenance,,
Near Miss,Atmospheric gas leak of PDI-1146 on D-136A,Safety - contact with chemicals,,1C
QSI Observation,Mechanical room-112 4X2=8 Light not working,None - minor maintenance,,
QSI Observation,B90-NG2-PP-027 & B90-PIB-5-PP-041 doors found open,Safety - contact with chemicals,,
QSI Observation,"Substation, Bldg. 303, Switchgear Room 100. It appears there is no PPE at the substation. There is one cabinet but it is locked and it is not marked as containing PPE for electrical work. Provide PPE that is in compliance with G.I. 2.721, Section 8.",Safety - fire and explosion,,
QSI Observation,PIB 1B HVAC needs to be inspected.,Safety - slip trip and fall,,
QSI Observation,Exit sign not working at OME BUILDING,None - minor maintenance,,
Employee Suggestion,In the Maintenance (mechanical) shop at bldg.#102 there is a continuous leak coming from top valve (fire system) of the east exit door.I would suggest to repair this leak before it the incident take place.,None - minor maintenance,,
Near Miss,Electrical Extention misuse,Safety - fire and explosion,,1C
QSI Observation,B92-G-0061 B fire booster pump has water seal leak,None - minor maintenance,,
Employee Suggestion,Utilities Emergency evacuation area does not have shades or umbrellas making waiting during safety drills and real emergency situations exhausting and a real heat hazard issueTo install shades or umbrella in evacuation area,None,,
QSI Observation,4. Missing drain from 2?É¬¢?Ç‚Ç¨?Ç¬ù GUA L conduit fitting connected to 32-DAJB-711 located at the south side of B90-K-0201 A at NGL 2.,None - minor maintenance,,1C
QSI Observation,"No Fire blanket in the box located on plat ISF substation-120 since April, 2018",None - minor maintenance,,
Employee Suggestion,New chemical store is not provided with fire equipment. My suggestion is to install fire extinguisher at the entrance of chemical store.,Safety - fire and explosion,,5C
QSI Observation,B-48 G-0601A/B CCW PUMP oily water sewer blockage,None - minor maintenance,,1C
QSI Observation,?É¬¢?Ç‚Ç¨?Ç¬¢ Isolation procedure used to control a the isolation of Vessel 210C was not specific to the equipment being isolated. HWP 1537456 Recommendation(s): ?É¬¢?Ç‚Ç¨?Ç¬¢ Isolation procedures shall be made for the specific equipment being isolated as per the requireme,Others,,
QSI Observation,No coating was available on the suction and discharge spools of B92-G-0012-A.,None - minor maintenance,,
Employee Suggestion,Install fire extinguisher behind loop transformer #304,Safety - fire and explosion,,
Unsafe Condition,The cable tray covers between RMU and D-0004 is about to fall.Need to be fixed.,None - minor maintenance,,
QSI Observation,?É¬¢?Ç‚Ç¨?Ç¬¢ Two windsock damaged near EM-0102 and on B/L Slug catcher D-0003.,None - minor maintenance,,
Employee Suggestion,"The drain line for liquid sample points not connected directly to the oily water sewer .So, we suggest to extend the drain lines to avoid chemical splashing that might cause hot burns .",Safety - contact with chemicals,,
Employee Suggestion,I suggest to install PPE cabinet in methanol tank area,Safety - contact with chemicals,,
QSI Observation,One DC 30 Extinguesher Located ISF Admin Bldg #120 without SAP number,Safety - fire and explosion,,
QSI Observation,RG1 substation has some exit signs that were not illuminated.,None - minor maintenance,,
Employee Suggestion,provide first aid kit in the filed will help to deal with any emergence fast and safe time in case any one injured,Others,,
QSI Observation,Hazardous Materials Store Shed (104): Fire hose reels B56-FHR-01 & B56-FHR-01 located outside the Hazardous Materials Store Shed (104) are found isolated.,Safety - electric,,1C
Unsafe Condition,At GT#2 there is a monkey ladder between 2nd and top platform for D-0203 flush drum. Between two step for this ladder there is a support might cause of losing of balance.,Safety - slip trip and fall,,
QSI Observation,Instruct all personnel about the importance of maintaining good housekeeping along the facility. UCP room at RO building was found with so many plastic water bottles and other materials.,None - minor maintenance,,1C
QSI Observation,Exit Sign on mechanical room-112 not working,None - minor maintenance,,
QSI Observation,Generator Room GO-1 remove the old scaffolding,None - minor maintenance,,
Unsafe Condition,PROPANE LEVEL TRANSMITTER,None - minor maintenance,,
Unsafe Condition,ELECTRIC WIRE IN P.S AREA.,None,,
QSI Observation,Damaged insulation of valve 32-FV-2001,None - minor maintenance,,
QSI Observation,Two CO2 Extinguesher Located ISF Dinning Bldg #121 without SAP number,Safety - fire and explosion,,
QSI Observation,Two light on the CCR main entrance required replacement,None - minor maintenance,,
Employee Suggestion,"We have in our area at west of air compressor pipe rack support, I would like to paint it, by caution color, to caution any body walk there, then prevent hit that support pipe rack.Pain it.",Others,,
QSI Observation,Several leaks locations were observed in R/O building.,None - minor maintenance,,
QSI Observation,Work shop is not arranged well. It was noticed that ladder was laying on the fire extinguisher. (H),None - minor maintenance,,
Employee Suggestion,"Currently, there are some Firefighting Equipment nearby road and Central Control Room does not protected by barriers to protect them from damage. The Firefighting Equipment nearby road is exposed to a higher probability of damage because of it is nea",Safety - fire and explosion,,
QSI Observation,No careseals at D-0108,None - minor maintenance,,
Employee Suggestion,Place portable safety shower nearby Hypochlorite Dosing Tank in STP area,Safety - contact with chemicals,,
Employee Suggestion,there are many pipes on Hot Oil Circulation pump B92-G-0042 some of them cold and the others too hot The workers while working around the pump hold the hot pipe by mistake and burn they hands,Safety - fire and explosion,,
Employee Suggestion,Install fire extinguisher behind loop transformer #302,Safety - fire and explosion,,
QSI Observation,"Emergency diesel generator room-101 Fire extinguisher 56- PE-272,PE271 no TAG for inspection record",Safety - fire and explosion,,1C
QSI Observation,"Air Blast Cooler ( B91-E-0210A), Lube Oil tank of Pump B91-G-0202A: ?É¬¢?Ç‚Ç¨?Ç¬¢ Spilled lube oil 0n the lube oil skid.",Safety - slip trip and fall,,
QSI Observation,the chemical stored in Waste Hazardous Bulding missing HAZCOM Label. HAZCOM Label must be post on each container,Safety - contact with chemicals,,
Unsafe Condition,UNDER GROUND WIRE,Safety - slip trip and fall,,
QSI Observation,3. Breakers in B90-NG1-PP-024 are in ON position while load schedule reflect ?É¬¢?Ç‚Ç¨?Ç?ìSPARE?É¬¢?Ç‚Ç¨?Ç¬ù all spare breakers should be in off position,None - minor maintenance,,
QSI Observation,"Inj#1 Unused insulation material was found left nearby PZV-1029, PZV-1052 and PZV-1053 at top platform",Safety - fire and explosion,,
Unsafe Condition,MISSING NUTS,None - minor maintenance,,
Near Miss,welky droop,None,,1C
QSI Observation,22-FIT -2046 near G-209 A has minor leak,None,,
Unsafe Condition,UNCOVERED PLUG PORT,Safety - fire and explosion,,1C
QSI Observation,There are several local pressure gauges not working: e. Local pressure gauges for NGL shipping pump mechanical seal vent lines ?É¬¢?Ç‚Ç¨?Ç‚Äú all not working f. Local gauge on Cooling water pump B95-G-0003B suction line not working,None - minor maintenance,,
QSI Observation,Loose grounding cable is observed near B93-D-331. Loose cables shall be repaired or removed if no longer needed.,None - minor maintenance,,2C
QSI Observation,?É¬¢?Ç‚Ç¨?Ç¬¢ 1?É¬¢?Ç‚Ç¨?Ç¬ù Horizontal conduit is detached from the clamp support from 2 points located at the West wall of the Utility Substation,None - minor maintenance,,
Employee Suggestion,Install fire extinguisher behind Switch Rack B56-XFR-303-SR-07,Safety - fire and explosion,,
Employee Suggestion,"I suggest to add a toolbox with all tools needed to maintain the fire pumps near the fire pumps, to make it easy for the mechanic and not to waste time bringing the tools that he needs to the pumps, so the standby mechanic can go directly to his posi",Safety - contact with chemicals,,
Unsafe Condition,PROCESS LIGHT COVER,None - minor maintenance,,
QSI Observation,Broken catch basin grids inside the chemical storage need to be repaired to avoid falling and tripping hazard.,Safety - slip trip and fall,,2C
QSI Observation,Battery room at Admin needs to be unlocked.,Safety - contact with chemicals,,1C
QSI Observation,MTS ROOM-104 -6 florescent light not working,None - minor maintenance,,
QSI Observation,Operation monthly communication meetings are not documented.,None - minor maintenance,,
QSI Observation,"The posted One-line diagram drawings at RI1, RG1 and RMU substations are IFC drawings. The subject drawings have to be replaced by As Builts.",None,,
QSI Observation,"Poor Housekeeping around RGC-03/RGC-1 area consisting of OWS cover, maintenance tools and drums pallets.",Safety - collision,,
QSI Observation,RMU substation Battery room PPE Cabinet is missing one (1) pair of robber boots,None - minor maintenance,,
QSI Observation,oil in lube oil skid at B96-K-0202,Safety - slip trip and fall,,
QSI Observation,Deluge system at D-0119 are not careaealed,Safety - slip trip and fall,,
QSI Observation,Provide Illuminated exit signs for all buildings as per SAES-P-123,None - minor maintenance,,
Near Miss,ground buggy BKR,None - minor maintenance,,2C
QSI Observation,"Operator Shelter Bldg., Electrical room. There are no working lights. Replace burned out light bulbs. ",None - minor maintenance,,
QSI Observation,"Fire extinguisher 56-101-87,79,82,84,89 the operations inspection tag it has wrong date",Safety - fire and explosion,,
Employee Suggestion,E-0103 hot oil re-boiler support need insulation because of it very hot,Safety - fire and explosion,,
QSI Observation,Most of utulity station connections are nissing,None,,
QSI Observation,Fire protection equipment located inside shelter 2 (at the northeastern edge of the plant) are not being maintained. The fire alarm control panel is continuously displaying trouble alarm message. Neither the alarm panel nor the fire extinguisher is b,Safety - fire and explosion,,
QSI Observation,OWS NORTH OF C-0102 EMPTY,None - minor maintenance,,1C
QSI Observation,B92-LHR-210 near fire water tank not inspected by proponent (new tag),Safety - fire and explosion,,
Unsafe Condition,LIGHTING BREAKER,Safety - electric,,
QSI Observation,1. Some flexible conduits were found detached located at south side of G-0006 A/B/C/D.,None - minor maintenance,,
Unsafe Condition,Bolting foundation,Safety - contact with chemicals,,1C
Employee Suggestion,"lab should be prepared with all fire safety precaution such as fire blanket ,fire hose and fire extinguishers but unfortunately we just have fire extinguishers in our lab.we need to install fire blanket as a safety precaution",Safety - fire and explosion,,
Near Miss,Box glass broking.,None - minor maintenance,,1C
QSI Observation,"Fire Hose Reel #102 found, No SAP numbers legibly",Safety - fire and explosion,,
QSI Observation,breakers found in ?É¬¢?Ç‚Ç¨?Ç?ìON Position?É¬¢?Ç‚Ç¨?Ç¬ù while indicate ?É¬¢?Ç‚Ç¨?Ç?ìSPARE?É¬¢?Ç‚Ç¨?Ç¬ù in the load schedule. If there is a load connected to them load schedule shall be updated,None - minor maintenance,,
Unsafe Condition,SCOTT AIR PAK,None,,
QSI Observation,miscellaneous materials stored under OME HVAC exterior duct.,Safety - slip trip and fall,,2C
QSI Observation,AL-OTAISHAN Contractor using basket for transferring tools while they should use Tool box,None - minor maintenance,,
QSI Observation,RV-4483214 (No pzv stencil or tag) has loosen vent bolts at D/S side,None - minor maintenance,,
Unsafe Condition,PLANT LIGHT NEAR BY ACID GAS COMPRESSOR.,Safety - electric,,
Unsafe Condition,DRUMS OF GRASE,Safety - slip trip and fall,,1C
Near Miss,Standing on Scrubber,Others,,
QSI Observation,B90-300-FP-001 monthly inspection not updated .,None - minor maintenance,,1C
QSI Observation,B95-G-0004A/B skid need cleaning,None - minor maintenance,,1C
QSI Observation,Remove N2 cylinder nearby B91-U-0101 at GT-1,None - minor maintenance,,
Employee Suggestion,"To relocate the NGL Assembly Area to another location. Two locations are recommended one at the NGL 3 open area west side. The other one is in east side, close to utility.",None,,
QSI Observation,"Very dark all the light not working at on plat ISF substation A/C Room since April ,2018",None - minor maintenance,,
QSI Observation,PZV's top of Sour water stripper B92-C-0101 B without careseal,None - minor maintenance,,1C
Near Miss,Employee about to collapse on the ground steel holder,Safety - slip trip and fall,,
Near Miss,materilas next to wet tank D-0005,Safety - contact with chemicals,,1C
Unsafe Condition,There is a damage cable tray near methanol pumps area GM-0011A/B need to be remove.Completed.,None - minor maintenance,,
Employee Suggestion,I suggest to install nozzle valve down on methanol tank D-0006 for our using in our pumps since the way we practice now it is not efficient we take it from the top from the tank.,None - minor maintenance,,
Near Miss,OME building door,None,,1C
QSI Observation,One Steam drain need to install the missing boiler maker nearby TP-1-01.,None - minor maintenance,,1C
Employee Suggestion,B56-111: Welding & fabrication shop building.Install eyes wash inside the shop,Safety - fire and explosion,,
Employee Suggestion,Need arc flash sign for every entrance door sub-station to explain right PPE and to remember any person to warning full PPE inside Sub-station.,Safety - electric,,
Employee Suggestion,Sidewalks edges at NGL admin bldg. & plant must be painted with (black/Yellow) or (black/White).,None - minor maintenance,,
Unsafe Condition,CABLE TRAY IS DAMAGE,Safety - collision,,
Unsafe Condition,WRONG CHEMICAL STORING,Safety - contact with chemicals,,
Employee Suggestion,To install a convex mirror on the top of the hill ( road from NGL to GT)To install a convex mirror on the top of the hill in the road between NGL and GT,None - minor maintenance,,
QSI Observation,Fire Extinguisher -56-102 FE-31 expire date on the tag,Safety - fire and explosion,,
QSI Observation,"SCABA BA#009 found, No SAP numbers legibly",None - minor maintenance,,1C
Employee Suggestion,To install a bike rack in front of NGL OME building 304To install a new bike rack in front of NGL OME building 304,None,,
Near Miss,INSOLATION not installed,None - minor maintenance,,1C
QSI Observation,Cleaning the area around the HO Expansion Tanks.,Safety - collision,,
QSI Observation,NGL-2 needs general housekeeping for hoses and scaffolding,Safety - slip trip and fall,,
Employee Suggestion,I suggest to remove sewer that one behind smoking shelter.remove sewer that one behind smoking shelter.,Safety - slip trip and fall,,
QSI Observation,most of Fire equipment tags wasn?É¬¢?Ç‚Ç¨?Ç‚Ñ¢t updated.,None,,
QSI Observation,B90-SB-114 & 111 & 108 LOW Air and monthly inspection not updated .,None - minor maintenance,,
QSI Observation,Install back insulation that was removed to isolate and blind IGC train 1 ASAP since the T&I activities were completed,None - minor maintenance,,
QSI Observation,B93-PIV-209 & 210 & 211 not caresealed,Safety - contact with chemicals,,
QSI Observation,PZV-1020 on C3 transfirre line isolated since 12/21/2017 need to exbedite the repair,None - minor maintenance,,
QSI Observation,Remove all chemical drums from GT OME shop.,None,,
QSI Observation,The safety equipments at chemical store near CCR not inspected since 2016,None,,
QSI Observation,B90- LHR-207 the NOZZLE and HOSE are thrown on the ground.,Safety - slip trip and fall,,
QSI Observation,Unused Opening at Task light Junction box that is located at the east side of B91-D-0103 at Gas Treat 1,None - minor maintenance,,
QSI Observation,Eyewashes at several Battery rooms in the area is missing the protection Caps,Safety - fire and explosion,,
Near Miss,piece of metal.,Safety - fire and explosion,,1C
Employee Suggestion,collecting sample box in gas treat area without label and proper color,Safety - contact with chemicals,,
QSI Observation,Area around shelter needs arrangment,Safety - slip trip and fall,,
Near Miss,Employee Smoking,Others,,1C
Employee Suggestion,I suggest to replace normal door by escape door for building 404.,None,,
Employee Suggestion,"initially, we have the injection compressor Lube Oil Rundown tank level transmitters have no shade cover to be protected from the direct sun. the sun direct exposure may affect the integrity of the electronic board of these transmitters. 61-LIT-1604 ",Safety - electric,,
Near Miss,D-403 Instrument Air Receiver Tank Handrail,Safety - slip trip and fall,,
QSI Observation,4 door exit sign not working at the LAB,None - minor maintenance,,1C
QSI Observation,oil in Compressor skid at B96-K-0102,Safety - slip trip and fall,,
Employee Suggestion,"Many operator when their radio battery empty they call for charged one and replace it inside explosive atmosphere, changing battery must be in non-hazardous area.I suggest to do session or sing at each shelter that make employee aware about this issu",Safety - fire and explosion,,
Employee Suggestion,"I suggest as per GI 150.100 3.3.1.4 For each hazardous material in storage, distribution, or processing systems, the proponent shall ensure that they are prominently stenciled, colored and name.",Safety - fire and explosion,,
Employee Suggestion,"In Utility And Co-gen operation shelter the panel for Pad-Lock need to install handle for both glasses to be safe and easy to open and close Also, to avoid any finger injury.",Others,,
Employee Suggestion,During drill or emergency siren every body report to the assembly point in which it is not roofed that make every one exposed to direct sun light for more than 30 to 45 minutes especially near central buildingsinstall roof in assembly points,Others,,
Employee Suggestion,There is ladder for G-0042D suction without safety guard.I suggest to install safety guard to this ladder.,Safety - slip trip and fall,,3C
QSI Observation,OWS nearby C-102 is dry,None - minor maintenance,,
Employee Suggestion,I suggested that the street between Recreation and SNGL install Digital Traffic Sign Speed. see attachment,Safety - collision,,
Employee Suggestion,I suggest placing a phosphoric line indicating the emergency exit at substation,Safety - collision,,
Near Miss,jumper line corroded,None - minor maintenance,,2C
Unsafe Condition,SMOKING SHELTER FLOOR,Safety - fire and explosion,,1C
QSI Observation,"Bldg. 304, Workshop, Room 100. Perform housekeeping at the shop by organizing materials.",None - minor maintenance,,
QSI Observation,"MCC-007. Panel ?É¬¢?Ç‚Ç¨?Ç?ìACN?É¬¢?Ç‚Ç¨?Ç¬ù (B58-GM-01C). 2nd lock installed in the wrong hole. Therefore, panel is not properly isolated and not all workers are properly protected. Use a lock hasp for electrical isolation requiring more than one lock.",Safety - electric,,3C
Employee Suggestion,we work as Lab in gases sample in GC room but our fume hood is not good enough to absorb the gases and this is not safe for us because we work in danger gases such as CO2 and H2Swe need to put exhaust fan above every GC device to absorb the gas after,Safety - contact with chemicals,,
Employee Suggestion,Providing fire drawing for each unit inside Operation building to help for isolation PIV incase underground water leaking.,Safety - fire and explosion,,
Employee Suggestion,There is no platform under flash drum ESD transmitters 21-LI-1034 B &C,None - minor maintenance,,
QSI Observation,eye wash nearby EDG main valve not painted green and not car sealed,None - minor maintenance,,
Employee Suggestion,switch rack B-56-SSI-SR-03 contain barkers for ssd fence lights and trans former. south OME-401 gas treat.,Safety - electric,,
Unsafe Condition,CONTAINER BLOCKED STREAT CYLENDER YARD,None - minor maintenance,,
QSI Observation,Main Substation 200 13.8 KV yard housekeeping required,None - minor maintenance,,
QSI Observation,Chemical drums stored behind the operation shelter that required to be stored in designed stored and with its CHB.,Safety - contact with chemicals,,
Employee Suggestion,"in our operation building there is unsafe threshold at the new locker room, I suggest to remove it to prevent injure or falling because of this threshold",Safety - slip trip and fall,,
QSI Observation,PZV-1054 at D-0044 without careseal,Others,,
Employee Suggestion,in our area Gas treating there is preheater and that preheater has hot oil line without insulation so I suggest to put insolation on that line,Safety - fire and explosion,,
QSI Observation,Conduit cover removed for the AC#1B at BLDG#405 (east side of the AC chiller),None - minor maintenance,,1C
QSI Observation,Some of piping need more stenciling such as RV line of D-0206.,None - minor maintenance,,
QSI Observation,UCP room #113 needs housekeeping,None - minor maintenance,,
Employee Suggestion,"I recommend to install some fire extinguishers at Fen-Fan skids, NGL-1 battery limit and NGL-2 battery limit.",Safety - fire and explosion,,
QSI Observation,B-91-G-0003A/B skids and the area required good housekeeping,None - minor maintenance,,
Employee Suggestion,Providing fire drawing for each unit inside Operation building to help for isolation PIV,Safety - fire and explosion,,
Employee Suggestion,"I suggest to install Black valve for the suction , recycle and discharge ZVs to have safe isolation during any mantanice work",None - minor maintenance,,
QSI Observation,noise from B96-K-0132B&C,None - minor maintenance,,
QSI Observation,Defective lightings inside NGL-1 and NGL-2 substations.,Safety - fire and explosion,,
QSI Observation,Missing reflector from one task light at Pipe Rack R-203 Column# 25.,None - minor maintenance,,
Employee Suggestion,We need to install Install fire extinguisher in main paperback.,Safety - fire and explosion,,
QSI Observation,The east door of the OME building has a broken handle need to be fixed.,None - minor maintenance,,
Near Miss,Engineer almost fall from desk.,Safety - slip trip and fall,,2C
QSI Observation,Office #115 the wall are very dirty & scratch from the movement of the chairs. Require painting,None,,
Near Miss,GM-0108C strainer door plug,None - minor maintenance,,1C
Employee Suggestion,their is some block valve without orange panting to cryogenic and flare.so we need to panted by orange colure.,None - minor maintenance,,
QSI Observation,Oiler level is very low at B92-G-0041B.,Safety - fire and explosion,,
QSI Observation,fire hydrant check lsit last filing in 03-09-2018,None - minor maintenance,,
Employee Suggestion,"in flare area all the rode are not asphalted, so I suggest to asphalt the rode around the flare area and all the frequented activity for operational needed",None - minor maintenance,,
Employee Suggestion,Seoul channel near by the Laboratory road is not guarded. guard rail should be installed around Seoul to avoid accidents and in,Safety - slip trip and fall,,
QSI Observation,The wind sock location top of D-0090 buffer tank need to be relocated due to it hit the light.,Safety - contact with chemicals,,
QSI Observation,"Antifoam Storage Tank (B91-D-0221A/B) , Skid ( B91-U-020`): ?É¬¢?Ç‚Ç¨?Ç¬¢ Spilled Antifoam on the ground.",Safety - contact with chemicals,,
Employee Suggestion,In Utilities OME 208 building there are multiple protruding objects in a narrow hallway.to create a cavity or a chamber and put these items inside the wall so that they don't become a collision hazard.,Safety - collision,,
Employee Suggestion,Install fire extinguisher behind Switch Rack B56-SS1-SR-03,Safety - fire and explosion,,
Employee Suggestion,In SNGL CCR there's a first aid kit is not painted by green color behind.,Others,,1C
Unsafe Condition,LUBE OIL DROPPING,Safety - collision,,
QSI Observation,"SCBA without SAP number 805,803,802,708,709,801,804",Others,,
QSI Observation,Resolve the issue of UPS alarms at Admin Building,None - minor maintenance,,
Employee Suggestion,We can't hear the emergency alarm or even drill in our lab and this is un safe in case of something happen it is a safety issue and need to be solved.I suggest to put a radio to inform us in case of emergency or drill in the lab in the meanwhile unti,Safety - fire and explosion,,
Employee Suggestion,"In SNGL many ZVs that are operated manually.At the end putting ZV in manual is no deference than ESD bypass a transmitter I suggest to use ESD bypass CRM request when a ZV is set manually,",None - minor maintenance,,
QSI Observation,there is a pice of fire blanket hanging in the middle of the walkway between C-0001 & C-0002 need to be removed,Safety - fire and explosion,,
QSI Observation,Clean oil under ZV-2054.,None - minor maintenance,,2C
QSI Observation,"Substation, Bldg. 303, Switchgear Room 100. Check and correct system trouble light at fire alarm control panel B90-303-FP-001.",Safety - fire and explosion,,
QSI Observation,Remove IFC Drawings in Operation Shelter; Immediate Priority,Safety - fire and explosion,,
QSI Observation,Left over scaffolding materials were left adjacent to Refrigerant Accumulator Tr-2 and Gas Mole Sieve Beds.,Safety - contact with chemicals,,
Unsafe Condition,INSTALL PANIC DOOR,Safety - collision,,1C
Employee Suggestion,our P&ID in DCS (YOKOGAWA SYSTEM) is old issued for construction since 2013. I suggest DCS Eng to update it to As build revision.,Others,,
QSI Observation,All substations Overhead cranes are expired,None,,4C
Employee Suggestion,I suggest to conduct new parking new to Computer gate which located outside the plant. a lot of trucks park there without any direction to stop or to choose the location which may cause an accident.I suggest to conduct new parking new to Computer gat,Others,,
